grade,term,purpose,default_rate,fully_paid_rate,avg_int_rate
F,60 months,wedding,0,1,23.28
F,36 months,vacation,0.3333333333333333,0.6666666666666666,23.779999999999998
D,60 months,vacation,1,0,17.855
E,36 months,moving,0.3142857142857143,0.6857142857142857,21.15
G,60 months,other,0.5714285714285714,0.42857142857142855,28.548928571428572
C,60 months,debt_consolidation,0.26730906495360457,0.7326909350463955,14.308358315488935
C,36 months,small_business,0.23703703703703705,0.762962962962963,14.02688888888889
A,36 months,car,0.050724637681159424,0.9492753623188406,6.916884057971014
C,36 months,credit_card,0.21451392058420812,0.7854860794157918,13.820068461889548
C,36 months,other,0.19256756756756757,0.8074324324324325,13.85972972972973
D,36 months,major_purchase,0.23809523809523808,0.7619047619047619,17.803142857142856
C,60 months,home_improvement,0.2550335570469799,0.7449664429530202,14.009228187919463
B,60 months,major_purchase,0.26,0.74,10.7422
D,60 months,medical,0.46153846153846156,0.5384615384615384,18.199615384615385
B,36 months,wedding,0,1,12.426666666666668
D,36 months,credit_card,0.25903614457831325,0.7409638554216867,17.673253012048193
E,60 months,major_purchase,0.5416666666666666,0.4583333333333333,21.627499999999998
G,60 months,credit_card,0.4666666666666667,0.5333333333333333,27.767
C,60 months,credit_card,0.2740112994350282,0.7259887005649718,14.155056497175142
G,36 months,debt_consolidation,0.525,0.475,29.23925
E,60 months,vacation,1,0,23.4
A,60 months,small_business,0.5,0.5,7.93
A,60 months,credit_card,0.08333333333333333,0.9166666666666666,7.805357142857143
E,36 months,credit_card,0.3006993006993007,0.6993006993006993,21.510839160839158
B,60 months,car,0.17647058823529413,0.8235294117647058,10.467058823529412
E,36 months,other,0.2774869109947644,0.7225130890052356,21.58602094240838
D,60 months,small_business,0.25,0.75,17.596875
G,36 months,credit_card,0.75,0.25,30.237499999999997
G,60 months,debt_consolidation,0.5621890547263682,0.43781094527363185,28.05154228855721
C,60 months,wedding,0,1,16.29
G,36 months,wedding,0,1,25.89
E,36 months,debt_consolidation,0.34941176470588237,0.6505882352941177,21.21170588235294
B,36 months,moving,0.10606060606060606,0.8939393939393939,10.703181818181818
B,36 months,renewable_energy,0.14285714285714285,0.8571428571428571,11.065714285714288
C,36 months,car,0.1791044776119403,0.8208955223880597,13.845746268656717
D,36 months,home_improvement,0.25340599455040874,0.7465940054495913,17.621171662125338
A,36 months,moving,0.07692307692307693,0.9230769230769231,7.0261538461538455
A,36 months,small_business,0.11320754716981132,0.8867924528301887,7.21188679245283
A,36 months,medical,0.058823529411764705,0.9411764705882353,7.125529411764705
E,36 months,vacation,0.32,0.68,20.421599999999998
G,60 months,home_improvement,0.36,0.64,28.1008
C,60 months,vacation,0.2727272727272727,0.7272727272727273,13.360909090909091
G,36 months,other,0.36363636363636365,0.6363636363636364,28.904545454545453
B,36 months,major_purchase,0.14233576642335766,0.8576642335766423,10.557700729927006
B,60 months,other,0.1836734693877551,0.8163265306122449,10.959795918367346
E,36 months,major_purchase,0.475,0.525,20.929499999999997
G,60 months,small_business,0.5882352941176471,0.4117647058823529,27.514117647058825
D,36 months,moving,0.2553191489361702,0.7446808510638298,18.007872340425532
F,36 months,moving,0.2,0.8,24.389999999999997
F,60 months,debt_consolidation,0.520671834625323,0.479328165374677,25.07922480620155
G,60 months,moving,1,0,30.94
D,36 months,wedding,0.10526315789473684,0.8947368421052632,18.785263157894736
D,60 months,major_purchase,0.35135135135135137,0.6486486486486487,18.142432432432432
E,36 months,wedding,0.3333333333333333,0.6666666666666666,21.44666666666667
A,36 months,vacation,0.1276595744680851,0.8723404255319149,7.209787234042554
E,60 months,small_business,0.45454545454545453,0.5454545454545454,20.810606060606062
B,60 months,credit_card,0.2113970588235294,0.7886029411764706,10.533988970588235
F,36 months,major_purchase,0.5714285714285714,0.42857142857142855,25.608571428571427
E,36 months,renewable_energy,0.3333333333333333,0.6666666666666666,24.293333333333333
E,36 months,car,0.13333333333333333,0.8666666666666667,21.075333333333333
F,36 months,small_business,0.48148148148148145,0.5185185185185185,25.058148148148145
A,36 months,debt_consolidation,0.05764680576468058,0.9423531942353194,7.1264379436437935
A,60 months,moving,1,0,7.89
E,60 months,home_improvement,0.30612244897959184,0.6938775510204082,21.1544387755102
A,60 months,major_purchase,0,1,7.8075
F,60 months,home_improvement,0.38571428571428573,0.6142857142857143,24.67342857142857
B,60 months,home_improvement,0.17177914110429449,0.8282208588957055,10.689386503067485
F,36 months,medical,0.2,0.8,23.918
D,36 months,car,0.296875,0.703125,17.913125
C,36 months,home_improvement,0.20610687022900764,0.7938931297709924,13.926933842239185
F,60 months,small_business,0.5652173913043478,0.43478260869565216,23.942608695652172
D,36 months,debt_consolidation,0.28826291079812205,0.711737089201878,17.5819186228482
F,60 months,moving,0.5454545454545454,0.45454545454545453,25.5
A,60 months,car,0,1,8.145
F,60 months,major_purchase,0.3939393939393939,0.6060606060606061,25.171818181818182
G,60 months,medical,0.3333333333333333,0.6666666666666666,26.22666666666667
G,36 months,home_improvement,0.5,0.5,28.365000000000002
C,36 months,debt_consolidation,0.202484649435956,0.797515350564044,13.890719691560761
D,60 months,debt_consolidation,0.3739172281039461,0.6260827718960539,17.763849855630415
A,60 months,other,0.125,0.875,7.63125
F,36 months,other,0.2830188679245283,0.7169811320754716,25.347735849056605
E,36 months,home_improvement,0.24742268041237114,0.7525773195876289,21.207525773195876
F,60 months,credit_card,0.4174757281553398,0.5825242718446602,25.316796116504854
B,36 months,vacation,0.10869565217391304,0.8913043478260869,10.62021739130435
B,36 months,other,0.13976945244956773,0.8602305475504323,10.681095100864553
F,60 months,medical,0.3333333333333333,0.6666666666666666,24.323333333333334
F,36 months,home_improvement,0.2608695652173913,0.7391304347826086,25.065217391304348
C,36 months,moving,0.2018348623853211,0.7981651376146789,13.891009174311927
A,36 months,other,0.07210031347962383,0.9278996865203761,7.1378996865203765
E,60 months,renewable_energy,0.5,0.5,19.755
G,36 months,moving,1,0,30.99
E,60 months,car,0.4166666666666667,0.5833333333333334,21.42833333333333
B,60 months,medical,0,1,10.062666666666667
C,60 months,major_purchase,0.26865671641791045,0.7313432835820896,14.426417910447762
C,60 months,car,0.325,0.675,14.21875
B,36 months,medical,0.16326530612244897,0.8367346938775511,10.75265306122449
G,60 months,major_purchase,0.5714285714285714,0.42857142857142855,27.70285714285714
B,36 months,debt_consolidation,0.13610744693608345,0.8638925530639165,10.673361314306272
C,60 months,other,0.2777777777777778,0.7222222222222222,14.22712962962963
D,60 months,car,0.4375,0.5625,17.024375
D,36 months,renewable_energy,0.25,0.75,18.57875
G,36 months,small_business,0.6666666666666666,0.3333333333333333,27.863333333333333
C,36 months,vacation,0.22580645161290322,0.7741935483870968,13.850322580645162
E,36 months,medical,0.35714285714285715,0.6428571428571429,21.149047619047618
B,60 months,vacation,0.3333333333333333,0.6666666666666666,10.556666666666667
C,60 months,moving,0.375,0.625,14.42
D,36 months,vacation,0.3188405797101449,0.6811594202898551,17.512898550724636
B,36 months,home_improvement,0.1304801670146138,0.8695198329853863,10.517682672233821
A,60 months,home_improvement,0.05,0.95,7.984999999999999
C,60 months,small_business,0.2608695652173913,0.7391304347826086,14.18913043478261
B,60 months,small_business,0.16666666666666666,0.8333333333333334,11.966666666666667
G,36 months,major_purchase,0,1,30.79
D,36 months,other,0.27871621621621623,0.7212837837837838,17.928344594594595
D,60 months,wedding,0,1,18.286666666666665
G,60 months,car,0.3333333333333333,0.6666666666666666,27.669999999999998
F,36 months,debt_consolidation,0.4645161290322581,0.535483870967742,25.090064516129033
E,60 months,credit_card,0.4430379746835443,0.5569620253164557,20.99012658227848
G,60 months,renewable_energy,0,1,28.49
D,36 months,medical,0.22123893805309736,0.7787610619469026,17.747433628318586
F,36 months,car,0.5,0.5,26.2275
F,60 months,vacation,0,1,27.115
G,60 months,wedding,0,1,24.7
B,36 months,small_business,0.22666666666666666,0.7733333333333333,10.9468
E,60 months,wedding,0,1,21.353333333333335
C,60 months,medical,0.43478260869565216,0.5652173913043478,14.092173913043478
G,36 months,car,1,0,29.15
A,36 months,renewable_energy,0,1,7.231428571428572
D,60 months,moving,0.3,0.7,17.719
B,36 months,car,0.12804878048780488,0.8719512195121951,10.682073170731707
C,36 months,medical,0.23121387283236994,0.7687861271676301,13.827225433526012
E,60 months,debt_consolidation,0.43545508625817964,0.5645449137418204,21.067221891731112
E,60 months,other,0.4215686274509804,0.5784313725490197,21.3621568627451
A,60 months,medical,0,1,7.39
B,36 months,credit_card,0.12168252378567852,0.8783174762143214,10.516392088132198
G,36 months,medical,0,1,30.84
A,60 months,debt_consolidation,0.10738255033557047,0.8926174496644296,7.976778523489933
D,60 months,home_improvement,0.32701421800947866,0.6729857819905213,17.90521327014218
A,36 months,credit_card,0.06108597285067873,0.9389140271493213,6.986134453781512
E,60 months,medical,0.38461538461538464,0.6153846153846154,21.11846153846154
B,60 months,debt_consolidation,0.2019064124783362,0.7980935875216638,10.700675909878683
F,60 months,car,0.5,0.5,24.36
A,36 months,home_improvement,0.055487053020961775,0.9445129469790382,6.846843403205918
F,36 months,credit_card,0.26666666666666666,0.7333333333333333,24.897333333333332
E,36 months,small_business,0.41935483870967744,0.5806451612903226,21.252419354838707
D,36 months,small_business,0.32786885245901637,0.6721311475409836,17.631721311475406
A,36 months,wedding,0.09090909090909091,0.9090909090909091,7.483636363636364
D,60 months,credit_card,0.42299794661190965,0.5770020533880903,17.693942505133467
D,60 months,other,0.48514851485148514,0.5148514851485149,17.90188118811881
C,60 months,renewable_energy,0.6666666666666666,0.3333333333333333,13.966666666666667
E,60 months,moving,0.4444444444444444,0.5555555555555556,21.63222222222222
A,36 months,major_purchase,0.052830188679245285,0.9471698113207547,6.888792452830189
C,36 months,renewable_energy,0.375,0.625,13.51125
C,36 months,wedding,0.1,0.9,15.757
C,36 months,major_purchase,0.22007722007722008,0.7799227799227799,13.92969111969112
F,60 months,other,0.4657534246575342,0.5342465753424658,24.88849315068493
